id,postal,unmatched_postcode,web,age,date,day_of_week,postcode,sex,household_size,occupation,total_contacts
95,1,0,0,81,29/05/2009,0,WA2 8AY,0,1,retired,9
96,1,0,0,58,29/05/2009,0,DH9 0EY,1,2,retired,16
97,1,0,0,49,29/05/2009,0,TS9 5DE,0,3,health,12
98,1,0,0,81,29/05/2009,0,M33 3AD,0,1,retired,76
99,1,0,0,70,29/05/2009,0,M24 6EG,1,2,retired,9
100,1,0,0,52,29/05/2009,0,SK6 2LN,0,1,unknown,60
101,1,0,0,55,29/05/2009,0,CH7 1SD,1,2,office,18
102,1,0,0,47,29/05/2009,0,SK8 1NW,0,4,research,9
103,1,0,0,54,29/05/2009,0,SK3 9RB,0,1,office,37
104,1,0,0,21,29/05/2009,0,M20 3EE,1,6,student,13
105,1,0,0,41,29/05/2009,0,SK2 6EQ,0,3,service,10
106,1,0,0,32,29/05/2009,0,NG4 1DW,0,4,health,23
107,1,0,0,55,29/05/2009,0,TS5 7AT,0,2,unknown,7
108,1,0,0,71,29/05/2009,0,M33 5WZ,0,2,retired,111
109,1,0,0,56,29/05/2009,0,TS3 6DZ,0,2,home,21
110,1,0,0,43,29/05/2009,0,SK11 7EL,0,5,office,35
111,1,0,0,68,29/05/2009,0,SK6 2LN,0,2,retired,7
112,1,0,0,27,29/05/2009,0,M32 9AF,0,3,teaching,33
113,1,0,0,62,29/05/2009,0,L20 7BL,0,2,home,4
114,1,0,0,65,29/05/2009,0,HU16 5JW,0,2,retired,2
115,1,0,0,44,29/05/2009,0,HU17 8SZ,0,4,research,29
116,1,0,0,22,29/05/2009,0,HU3 6XL,0,4,office,30
117,1,0,0,59,29/05/2009,0,WA7 2UL,1,1,unknown,5
118,1,0,0,45,29/05/2009,0,CH8 7JJ,0,4,teaching,204
119,1,0,0,49,29/05/2009,0,CH47 9SL,0,2,teaching,15
120,1,0,0,65,29/05/2009,0,SR6 9RJ,1,2,retired,19
121,1,0,0,50,29/05/2009,0,DL3 0NP,0,2,teaching,57
122,1,0,0,25,29/05/2009,0,NE63 9DZ,0,3,home,32
123,1,0,0,63,29/05/2009,0,SK4 5JX,0,1,retired,5
124,1,0,0,61,29/05/2009,0,HU17 7LQ,1,1,retired,4
125,1,0,0,84,29/05/2009,0,SK10 4QH,1,2,retired,1
126,1,0,0,40,29/05/2009,0,NE62 5SB,1,2,labour,45
127,1,0,0,72,29/05/2009,0,TS9 5DE,0,1,public,56
128,1,0,0,42,29/05/2009,0,SK14 4TE,0,2,student,17
129,1,0,0,65,29/05/2009,0,TS26 9LS,0,2,retired,1
130,1,0,0,64,29/05/2009,0,IM2 5BS,0,2,teaching,272
131,1,0,0,34,29/05/2009,0,L15 8HH,1,4,office,22
132,1,0,0,68,29/05/2009,0,NE5 1JS,0,2,home,7
133,1,0,0,29,29/05/2009,0,L4 6TY,0,2,teaching,74
134,1,0,0,86,29/05/2009,0,L23 2TY,1,2,unknown,10
135,1,0,0,60,29/05/2009,0,WA9 2AR,0,2,retired,27
136,1,0,0,62,29/05/2009,0,CW11 2LL,1,2,retired,5
137,1,0,0,44,29/05/2009,0,L8 0SX,1,1,research,40
138,1,0,0,85,29/05/2009,1,NG24 2ND,1,2,retired,7
139,1,0,0,60,29/05/2009,1,BD23 4NY,0,2,retired,18
140,1,0,0,72,29/05/2009,1,HD4 6XA,0,2,retired,42
141,1,0,0,41,29/05/2009,1,BD15 9BX,0,1,unemployed,16
142,1,0,0,32,29/05/2009,1,DN4 5BY,0,2,teaching,141
143,1,0,0,62,29/05/2009,1,DN5 0BA,0,1,retired,31
144,1,0,0,71,29/05/2009,1,DN33 3RA,1,1,retired,1
145,1,0,0,80,29/05/2009,1,DN14 7ST,1,2,retired,4
146,1,0,0,19,29/05/2009,1,DN1 2JB,0,2,service,7
147,1,0,0,64,29/05/2009,1,-,0,2,home,71
148,1,0,0,47,29/05/2009,1,LS17 8QQ,0,2,service,7
149,1,0,0,36,29/05/2009,1,S40 4DG,0,4,research,6
150,1,0,0,71,29/05/2009,1,S4 7JQ,1,2,retired,1
151,1,0,0,68,29/05/2009,1,NG24 2NE,1,2,retired,8
152,1,0,0,67,29/05/2009,1,NG12 5AR,1,2,research,25
153,1,0,0,63,29/05/2009,1,NG19 6NN,0,2,retired,8
154,1,0,0,70,29/05/2009,1,-,0,2,retired,1
155,1,0,0,56,29/05/2009,1,DN1 2JE,0,2,teaching,125
156,1,0,0,57,29/05/2009,1,LN1 2AB,0,2,teaching,165
157,1,0,0,60,29/05/2009,1,LN9 5RP,1,2,retired,8
158,1,0,0,64,29/05/2009,1,LN6 0SQ,0,2,home,80
159,1,0,0,37,29/05/2009,1,-,0,4,office,15
160,1,0,0,85,29/05/2009,1,LN13 9QJ,0,1,retired,10
161,1,0,0,33,29/05/2009,1,LN1 2AB,1,1,research,15
162,1,0,0,40,29/05/2009,1,LN4 2BW,0,4,health,24
163,1,0,0,38,29/05/2009,1,NG5 1QP,0,1,office,15
164,1,0,0,59,29/05/2009,1,NG15 9DG,0,2,service,43
165,1,0,0,59,29/05/2009,1,CV32 5NJ,-1,2,service,11
166,1,0,0,37,29/05/2009,1,CV9 2PD,0,3,service,25
167,1,0,0,36,29/05/2009,1,CV34 4LW,0,4,health,415
168,1,0,0,79,29/05/2009,1,DE56 0DA,1,2,retired,9
169,1,0,0,28,29/05/2009,1,LS10 4HY,0,2,health,35
170,1,0,0,36,29/05/2009,1,S80 2DS,0,2,service,18
171,1,0,0,66,29/05/2009,1,NG9 6HY,0,2,retired,4
172,1,0,0,76,29/05/2009,1,HG5 8DJ,1,1,retired,1
173,1,0,0,39,29/05/2009,1,WF14 0NU,0,3,office,18
174,1,0,0,56,29/05/2009,1,NN12 6JQ,0,2,teaching,20
175,1,0,0,74,29/05/2009,1,NN14 6ED,1,1,retired,1
176,1,0,0,36,29/05/2009,1,NN2 8HN,0,2,office,13
177,1,0,0,44,29/05/2009,1,DN22 6PG,0,1,office,17
178,1,0,0,26,29/05/2009,1,-,0,2,service,5
179,1,0,0,79,29/05/2009,1,DN4 8AW,-1,1,retired,10
180,1,0,0,59,29/05/2009,1,DE45 1DB,1,1,office,62
181,1,0,0,62,29/05/2009,1,DE13 0RB,1,2,mechanic,11
182,1,0,0,55,29/05/2009,1,HD8 0DQ,1,2,public,87
183,1,0,0,32,29/05/2009,1,BD5 0NN,0,3,office,15
184,1,0,0,70,29/05/2009,1,BD18 4PE,0,1,retired,10
185,1,0,0,63,29/05/2009,1,HD6 2HU,0,2,retired,51
186,1,0,0,76,29/05/2009,1,WF17 8EG,1,1,retired,1
187,1,0,0,37,29/05/2009,1,BD2 4ED,0,1,office,32
188,1,0,0,25,29/05/2009,1,WF2 8QA,0,2,health,23
189,1,0,0,39,29/05/2009,1,WF1 3RD,0,2,office,5
190,1,0,0,86,29/05/2009,1,WF9 2TR,1,2,retired,1
191,1,0,0,53,29/05/2009,1,WF10 3JF,0,2,home,4
192,1,0,0,77,29/05/2009,1,LN8 3XU,1,2,retired,1
193,1,0,0,20,29/05/2009,1,LS16 7NZ,0,30,student,7
194,1,0,0,67,29/05/2009,1,HG4 2LS,1,2,retired,5
195,1,0,0,62,29/05/2009,1,NG11 0JT,0,2,retired,9
196,1,0,0,79,29/05/2009,1,NN4 0WJ,0,2,unknown,88
197,1,0,0,48,29/05/2009,1,NG14 6FN,0,2,health,82
198,1,0,0,61,29/05/2009,1,NG19 8RF,1,2,retired,5
199,1,0,0,59,29/05/2009,1,NG17 2LE,0,4,home,7
200,1,0,0,82,29/05/2009,1,LS15 7BA,0,1,retired,19
201,1,0,0,74,29/05/2009,1,BD23 2LR,1,1,retired,12
202,1,0,0,64,29/05/2009,1,HD6 2HU,0,2,home,8
203,1,0,0,59,29/05/2009,1,LE2 7DT,0,2,research,43
204,1,0,0,63,29/05/2009,1,CV47 9QE,0,2,retired,5
205,1,0,0,56,29/05/2009,1,CV36 4QU,0,1,home,4
206,1,0,0,88,29/05/2009,1,LN8 3XU,1,2,retired,17
207,1,0,0,59,29/05/2009,1,WF1 2JD,0,2,home,2
208,1,0,0,46,29/05/2009,1,LS28 7BT,0,2,health,8
209,1,0,0,85,29/05/2009,1,LS23 6BS,0,1,home,8
210,1,0,0,27,29/05/2009,1,WF3 1UT,0,1,health,56
211,1,0,0,74,29/05/2009,1,LS28 7BT,0,1,retired,5
